time (s), velocity (ms^-1), altitude (m)
17.099999999973488,1089.3947442235253,8757.268355206217
17.199999999973254,1096.8789543352984,8866.582320634081
17.29999999997302,1104.3743791741256,8976.64526888052
17.39999999997279,1111.88095703007,9087.458318337558
17.499999999972555,1119.3986252350433,9199.022581178395
17.599999999972322,1126.9273201554229,9311.339163261124
17.69999999997209,1134.4669771846586,9424.409164031958
17.799999999971856,1142.0175307358377,9538.2336764273
17.899999999971623,1149.5789142342721,9652.813786775523
17.99999999997139,1157.1510601100354,9768.150574697831
18.099999999971157,1164.7338997904994,9884.245113008255
18.199999999970924,1172.3273636928486,10001.098467613123
18.29999999997069,1179.9313812165892,10118.711697409575
18.399999999970458,1187.5458807360258,10237.085854183486
18.499999999970225,1195.1707895927484,10356.221982506468
18.59999999996999,1202.8060340880804,10476.12111963237
18.69999999996976,1210.451539475544,10596.784295392717
18.799999999969526,1218.1072299532937,10718.212532091622
18.899999999969292,1225.7730286565268,10840.406844400008
18.99999999996906,1233.4488576499275,10963.36823924869
19.099999999968826,1241.1346379200616,11087.09771572101
19.199999999968593,1248.8302893677699,11211.596264944848
19.29999999996836,1256.5357308005787,11336.864869983434
19.399999999968127,1264.250879925058,11462.90450572564
19.499999999967894,1271.9756533392379,11589.716138775637
19.59999999996766,1279.7099665249411,11717.300727341617
19.699999999967428,1287.4537338401865,11845.65922112372
19.799999999967195,1295.2068685115362,11974.79256120136
19.899999999966962,1302.9692826264697,12104.701679919659
19.99999999996673,1310.7408871257396,12235.38750077515
20.099999999966496,1318.5215917957257,12366.850938300733
20.199999999966263,1326.3113052608087,12499.09289794984
20.29999999996603,1334.1099349757394,12632.114275979864
20.399999999965797,1341.9173872179754,12765.915959334801
20.499999999965564,1349.7335670800633,12900.49882552717
20.59999999996533,1357.558378462021,13035.863742519168
20.699999999965097,1365.3917240636938,13172.01156860289
20.799999999964864,1373.2335053771449,13308.943152280097
20.89999999996463,1381.0836226790418,13446.659332140998
20.9999999999644,1388.941975023068,13585.160936742308
21.099999999964165,1396.8084602322972,13724.448784484537
21.199999999963932,1404.682974891636,13864.523683488618
21.2999999999637,1412.5654143402394,14005.386431471736
21.399999999963466,1420.4556726639648,14147.037815622256
21.499999999963233,1428.3536426878013,14289.478612474157
21.599999999963,1436.2592159683572,14432.70958778044
21.699999999962767,1444.1722827863312,14576.731496385948
21.799999999962534,1452.0927321390213,14721.545082099528
21.8999999999623,1460.0204517328418,14867.151077565144
21.999999999962068,1467.955327975863,15013.550204132405
